,中国城市及领土,其他国家地区,中国领导人,美国领导人,其他国家领导人,国际机构,气候环境,国际贸易,上升增强成功,下降减弱失败,对抗蔑视憎恶,支持认可喜好,反对谴责批评,担忧,合作联盟,取消结束,制裁限制监控,问题争议,侵害侵犯,认知,政治人权,军事,访问磋商,正面修饰,中性修饰,负面修饰,特质属性,人物,经济金融商业,国际关系与外交,媒体,能源,政府政策,灾害犯罪伤亡,交通运输,社会生活,文化,工程项目,法律,时间
反对谴责批评,4,2,0,1,0,0,0,4,0,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
担忧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合作联盟,0,5,0,2,0,0,0,10,1,1,0,0,0,0,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
取消结束,5,5,0,1,0,0,0,1,3,0,2,0,0,0,0,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制裁限制监控,5,8,1,2,0,0,0,2,1,1,2,0,0,0,0,1,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
问题争议,2,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侵害侵犯,2,5,1,1,0,1,0,3,0,1,0,0,1,0,1,0,0,0,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
认知,4,1,0,1,0,0,2,0,2,0,3,0,0,0,0,0,1,0,0,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
政治人权,6,8,0,1,0,0,0,1,2,1,3,1,2,0,0,0,37,0,0,2,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
军事,5,16,0,2,1,1,1,19,6,2,10,1,4,0,2,0,0,4,5,2,3,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
访问磋商,21,29,4,5,3,2,1,20,25,3,21,5,3,0,1,8,7,3,14,8,4,33,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
正面修饰,4,9,2,3,0,0,1,9,9,1,3,2,0,0,0,2,3,1,0,1,4,9,26,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中性修饰,10,17,1,5,1,1,3,9,7,3,4,1,1,0,4,2,37,0,3,3,39,15,15,7,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
负面修饰,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
特质属性,2,1,0,0,0,0,0,4,2,0,5,0,0,0,1,0,0,1,0,0,0,1,5,2,1,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-
人物,31,23,0,4,1,0,1,9,9,4,16,5,1,0,2,3,4,2,5,6,7,14,36,19,16,2,4,176,-,-,-,-,-,-,-,-,-,-,-,-
经济金融商业,3,14,1,2,1,2,3,18,4,1,4,0,0,0,2,2,3,1,0,1,1,6,21,11,8,4,6,8,49,-,-,-,-,-,-,-,-,-,-,-
国际关系与外交,0,8,0,2,0,0,0,16,1,1,0,0,0,0,10,0,0,2,1,0,2,5,5,2,5,0,1,4,4,20,-,-,-,-,-,-,-,-,-,-
媒体,1,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,2,0,1,0,12,-,-,-,-,-,-,-,-,-
能源,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,-,-,-,-,-,-,-,-
政府政策,5,10,1,1,0,0,1,8,2,1,1,0,0,0,0,1,38,0,0,1,39,2,9,4,37,0,1,7,8,2,0,0,47,-,-,-,-,-,-,-
灾害犯罪伤亡,1,6,1,1,1,0,1,2,0,3,1,1,0,0,1,0,1,2,3,0,0,11,6,2,3,0,1,8,2,1,0,0,0,33,-,-,-,-,-,-
交通运输,9,13,0,0,1,0,2,5,2,1,8,0,0,0,2,3,1,0,1,3,0,7,11,5,4,0,2,13,7,2,0,0,1,1,54,-,-,-,-,-
社会生活,9,11,0,1,0,2,0,9,6,4,4,1,0,0,2,1,2,2,4,1,1,9,14,4,4,1,0,8,8,4,0,1,2,5,5,74,-,-,-,-
文化,18,12,4,0,0,1,1,5,8,1,11,4,0,0,1,0,3,0,5,4,1,15,35,6,9,0,2,15,4,2,0,0,2,2,7,11,108,-,-,-
工程项目,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,6,3,1,0,0,1,0,0,0,0,0,0,1,0,2,11,-,-
法律,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,8,-
时间,3,4,0,1,0,1,0,3,1,0,3,0,1,0,2,1,1,0,0,2,2,3,7,3,7,0,2,2,4,2,1,0,1,0,3,1,5,1,0,26
